Year,Ontario GHG ID,Facility Owner,Facility Name,Facility City,Facility Primary NAICS Code,Carbon dioxide (CO2) from non-biomass in CO2e (t),Carbon dioxide (CO2) from biomass in CO2e (t),Methane (CH4) in CO2e (t),Nitrous oxide (N2O) in CO2e (t),Sulphur hexafluoride (SF6) in CO2e (t),Hydrofluorocarbons (HFCs) in CO2e (t),Perfluorocarbons (PFCs) in CO2e (t),Nitrogen Trifluoride (NF3) in CO2e (t),Total CO2e from all sources in CO2e (t),Reporting Amount in CO2e (t),Verification Amount in CO2e (t),Accredited Verification Body
2017,1269,Ferrero Canada Limited,Ferrero Canada Limited,Brantford,311351,23276.1,0,9.3723,126.697,0,0,0,0,23413,23413,23413,GHD Limited
2018,1126,Sonoco Canada Corporation,Sonoco Brantford,Brantford,322130,24594.5,0,10.164,133.92,0,0,0,0,24739,24739,24739,GHD Limited
2018,1252,Hartmann Canada Inc.,Hartmann North America,Brantford,322299,14689,0,6.0774,79.98,0,0,0,0,14776,14776,14776,
2018,1255,Patriot Forge Co.,Brantford Facility,Brantford,332113,26954.3332,0,11.1531,146.723,0,0,0,0,27113,27113,27113,GHD
2018,1269,Ferrero Canada Limited,Ferrero Canada Limited,Brantford,311351,24077.6,0,9.954,131.13,0,0,0,0,24219,24219,24219,
2010,1122,Safety-Kleen Canada Inc.,Oil Recovery Division,Breslau,324190,31843,0,4,125,0,0,0,,31973,31973,,
2011,1122,Safety-Kleen Canada Inc.,Oil Recovery Division,Breslau,324190,38444.603,0,119.9629,164.6429,0,0,0,,38730,38730,38730,Conestoga-Rovers & Associates Limited (CRA)
2012,1122,Safety-Kleen Canada Inc.,Oil Recovery Division,Breslau,324190,38830.16,0,123.2461,167.3789,0,0,0,,39121,39121,39121,Conestoga-Rovers & Associates Limited (CRA)
2013,1122,Safety-Kleen Canada Inc.,Oil Recovery Division,Breslau,324190,44013.59,0,177.833,199.8741,0,0,0,,44392,44392,44392,Conestoga-Rovers & Associates Limited (CRA)
2014,1122,Safety-Kleen Canada Inc.,Oil Recovery Division,Breslau,324190,44570.8144,0,154.6196,198.7246,0,0,0,,44925,44925,44925,Conestoga-Rovers & Associates Limited (CRA)
2015,1122,Safety-Kleen Canada Inc.,Oil Recovery Division,Breslau,324190,44509.9005,0,118.8917,192.0531,0,0,0,0,44821,44821,44821,GHD Limited (formerly CRA)
2016,1122,Safety-Kleen Canada Inc.,Oil Recovery Division,Breslau,324190,44572.8729,0,115.3429,192.1306,0,0,0,0,44881,44881,44881,GHD Limited (formerly CRA)
2017,1122,Safety-Kleen Canada Inc.,Oil Recovery Division,Breslau,324190,45796.1344,0,6.7037,164.1645,0,0,0,0,45968,45968,45968,Stantec Consulting Ltd
2018,1122,Safety-Kleen Canada Inc.,Oil Recovery Division,Breslau,324190,46394.47,0,6.6703,159.2796,0,0,0,0,46561,46561,46561,Stantec Consulting Ltd
2015,1243,Axens Canada Specialty Aluminas Inc.,Brockville Activated Alumina Plant,Brockville,325999,10071.915,0,4.158,54.87,0,0,0,0,10131,10131,10131,GHD Limited (formerly CRA)
2016,1243,Axens Canada Specialty Aluminas Inc.,Brockville Activated Alumina Plant,Brockville,325999,10905.044,0,4.557,59.83,0,0,0,0,10970,10970,10970,GHD Limited (formerly CRA)
2016,1344,3M Canada Co.,3M BROCKVILLE 501,Brockville,322220,13177.93,0,5.4524,71.7371,0,0,0,0,13256,13256,13256,GHD Limited (formerly CRA)
2017,1243,Axens Canada Specialty Aluminas Inc.,Brockville Activated Alumina Plant,Brockville,325999,11232.4,0,4.683,61.69,0,0,0,0,11299,11299,11299,GHD
2017,1344,3M Canada Co.,3M BROCKVILLE 501,Brockville,322220,13315.92,0,5.46,71.3,0,0,0,0,13393,13393,13393,GHD Limited
2018,1243,Axens Canada Specialty Aluminas Inc.,Brockville Activated Alumina Plant,Brockville,325999,10993.6,0,4.578,60.45,0,0,0,0,11059,11059,11059,
2018,1344,3M Canada Company,3M BROCKVILLE 501,Brockville,322220,13723.12,0,5.67,73.47,0,0,0,0,13803,13803,13803,
2010,1066,Hanson Brick,Hanson Brick - Burlington,Burlington,327990,44731,0,13,166,0,0,0,,44910,44910,,
2011,1066,Hanson Brick,Hanson Brick - Burlington,Burlington,327990,41312.5,0,10.9368,143.902,0,0,0,,41468,41468,41468,Stantec Consulting Ltd.
2012,1066,Hanson Brick,Hanson Brick - Burlington,Burlington,327990,43047,0,11.2833,148.459,0,0,0,,43207,43207,43207,Stantec Consulting Ltd.
2013,1066,Hanson Brick,Hanson Brick - Burlington,Burlington,327990,38439,0,10.1913,134.106,0,0,0,,38584,38584,38584,Stantec Consulting Ltd.
2014,1066,Hanson Brick,Hanson Brick - Burlington,Burlington,327990,36694,0,10.0149,131.781,0,0,0,,36836,36836,36836,Stantec Consulting Ltd.
2015,1066,Forterra Brick,Forterra Brick - Burlington,Burlington,327990,33432.5,0,9.1224,120.032,0,0,0,0,33562,33562,33562,Stantec Consulting Ltd.
2016,1066,Forterra Brick,Forterra Brick - Burlington,Burlington,327990,39850,0,10.92,142.6,0,0,0,0,40004,40004,40004,Stantec Consulting Ltd.
2016,1381,Fearmans Pork-Sofina Foods Inc.,Fearmans Pork-Sofina Foods Inc.,Burlington,311614,12278.2398,0,5.0799,66.836,0,0,0,0,12351,12351,12351,
2017,1066,Meridian Brick,Meridian Brick - Burlington,Burlington,327990,35301,0,9.45,124,0,0,0,0,35435,35435,35435,NSF International
2017,1381,Fearmans Pork-Sofina Foods Inc.,Fearmans Pork-Sofina Foods Inc.,Burlington,311614,12699.8572,0,5.2542,69.13,0,0,0,0,12775,12775,12775,
2018,1066,Meridian Brick,Meridian Brick - Burlington,Burlington,327990,38436,0,10.5903,140.802,0,0,0,0,38588,38588,38588,"NSF Certification, LLC"
2018,1381,Fearmans Pork-Sofina Foods Inc.,Fearmans Pork-Sofina Foods Inc.,Burlington,311614,14008.8286,0,5.796,76.26,0,0,0,0,14091,14091,14091,
2010,1054,Gerdau Ameristeel,"Gerdau Ameristeel Corporation, Cambridge Mill",Cambridge,331110,31623,5212,31,128,0,0,0,,36996,31784,,
2010,1140,Toyota Motor Manufacturing Canada Inc.,Toyota Motor Manufacturing Canada (Cambridge),Cambridge,336110,57223,0,24,313,0,0,0,,57561,57561,,
2011,1054,Gerdau Ameristeel Corporation,"Gerdau Ameristeel Corporation, Cambridge Mill",Cambridge,331110,39378.9374,3479.1092,10.4685,122.14,0,0,0,,42991,39511.8908,39512,Conestoga-Rovers & Associates Limited (CRA)
2011,1140,Toyota Motor Manufacturing Canada Inc.,Toyota Motor Manufacturing Canada (Cambridge),Cambridge,336110,55154.291,0,22.869,303.49,0,0,0,,55481,55481,55481,Conestoga-Rovers & Associates Limited (CRA)
2012,1054,Gerdau Ameristeel Corporation,"Gerdau Ameristeel Corporation, Cambridge Mill",Cambridge,331110,41005.9231,3075.2734,11.2308,133.951,0,0,0,,44227,41151,41151,Conestoga-Rovers & Associates Limited (CRA)
2012,1140,Toyota Motor Manufacturing Canada Inc.,Toyota Motor Manufacturing Canada (Cambridge),Cambridge,336110,56280.05,0,23.331,309.07,0,0,0,,56613,56613,56613,Conestoga-Rovers & Associates Limited (CRA)
2013,1054,Gerdau Ameristeel Corporation,"Gerdau Ameristeel Corporation, Cambridge Mill",Cambridge,331110,26359.2218,3095.4102,7.8876,89.869,0,0,0,,29553,26457,26457,Conestoga-Rovers & Associates Limited (CRA)
2013,1140,Toyota Motor Manufacturing Canada Inc.,Toyota Motor Manufacturing Canada (Cambridge),Cambridge,336110,64292.485,0,26.649,352.16,0,0,0,,64672,64672,64672,Conestoga-Rovers & Associates Limited (CRA)
2014,1054,Gerdau Ameristeel Corporation,"Gerdau Ameristeel Corporation, Cambridge Mill",Cambridge,331110,19602.3167,2750.7154,9.1686,108.252,0,0,0,,22471,19720,19720,Conestoga-Rovers & Associates Limited (CRA)
2014,1140,Toyota Motor Manufacturing Canada Inc.,Toyota Motor Manufacturing Canada (Cambridge),Cambridge,336110,68973.402,0,28.56,376.34,0,0,0,,69379,69379,69379,Conestoga-Rovers & Associates Limited (CRA)
2015,1054,Gerdau Ameristeel Corporation,"Gerdau Ameristeel Corporation, Cambridge Mill",Cambridge,331110,16298.5627,2143.35,7.5684,89.931,0,0,0,0,18540,16396,16396,GHD Limited (formerly CRA)
2015,1140,Toyota Motor Manufacturing Canada Inc.,Toyota Motor Manufacturing Canada (Cambridge),Cambridge,336110,64341.776,0,26.649,351.54,0,0,0,0,64720,64720,64720,GHD Limited (formerly CRA)
2015,1244,Canadian General-Tower Ltd.,Canadian General-Tower Ltd.,Cambridge,326114,15909.72,0,6.573,86.49,0,0,0,0,16003,16003,16003,RWDI AIR Inc.
2015,1248,PepsiCo Canada ULC,Cambridge Manufacturing,Cambridge,311919,19333,0,7.182,118.11,0,0,0,0,19459,19459,19459,GHD Limited (formerly CRA)
2016,1054,Gerdau Ameristeel Corporation,"Gerdau Ameristeel Corporation, Cambridge Mill",Cambridge,331110,15175.988,1172.9497,6.7305,83.266,0,0,0,0,16439,15266,15266,GHD Limited (formerly CRA)
2016,1140,Toyota Motor Manufacturing Canada Inc.,Toyota Motor Manufacturing Canada (Cambridge),Cambridge,336110,92084.04,0,38.1486,504.339,0,0,0,0,92627,92627,92551,GHD Limited (formerly CRA)
2016,1244,Canadian General-Tower Ltd.,Canadian General-Tower Ltd.,Cambridge,326114,15219.42,0,6.3,82.77,0,0,0,0,15309,15309,15309,RWDI AIR Inc.
2016,1248,PepsiCo Canada ULC,Cambridge Manufacturing,Cambridge,311919,19390,0,7.14,118.42,0,0,0,0,19516,19516,19516,GHD Limited (formerly CRA)
2017,1054,Gerdau Ameristeel Corporation,"Gerdau Ameristeel Corporation, Cambridge Mill",Cambridge,331110,15177.481,2382.1414,7.1946,83.979,0,0,0,0,17651,15269,15269,Internat Energy Solutions Canada
2017,1140,Toyota Motor Manufacturing Canada Inc.,Toyota Motor Manufacturing Canada Inc. (Cambridge),Cambridge,336110,92995.111,0,38.514,508.71,0,0,0,0,93543,93543,93481,Stantec Consulting Ltd.
2017,1244,Canadian General-Tower Ltd.,Canadian General-Tower Ltd.,Cambridge,326114,15118.17,0,6.258,82.15,0,0,0,0,15207,15207,15207,RWDI Air Inc.
2017,1248,PepsiCo Canada ULC,Cambridge Manufacturing,Cambridge,311919,19214,0,7.959,104.47,0,0,0,0,19327,19327,19327,GHD
2018,1054,Gerdau Ameristeel Corporation,"Gerdau Ameristeel Corporation, Cambridge Mill",Cambridge,331110,14689.09,1911.3,6.8124,81.034,0,0,0,0,16689,14777,14777,Internat Energy Solutions Canada
2018,1140,Toyota Motor Manufacturing Canada Inc.,Toyota Motor Manufacturing Canada Inc. (Cambridge),Cambridge,336110,94402.344,0,39.081,515.22,0,0,0,0,94957,94957,94957,Stantec Consulting Ltd
2018,1244,Canadian General-Tower Ltd.,Canadian General-Tower Ltd.,Cambridge,326114,14924.72,0,6.174,81.22,0,0,0,0,15013,15013,15013,
2018,1248,PepsiCo Canada ULC,Cambridge Manufacturing,Cambridge,311919,21921,0,9.072,119.35,0,0,0,0,22050,22050,22050,
2010,1019,"Cardinal Power of Canada, L.P.",Cardinal Power,Cardinal,221112,562025,0,3011,4445,0,0,0,,569481,569481,,
2010,1075,Canada Starch Operating Company Inc.,Casco Inc. - Cardinal Plant,Cardinal,311221,26253,2742,11,143,0,0,0,,29149,26407,,
2011,1019,"Cardinal Power of Canada, L.P.",Cardinal Power,Cardinal,221112,549474.5144,0,3010.0466,4443.4098,0,0,0,,556928,556928,556928,Stantec Consulting Ltd.
2011,1075,Canada Starch Operating Company Inc.,Casco Inc. - Cardinal Plant,Cardinal,311221,23836.34001,0,9.8621,129.7967,0,0,0,,23976,23976,23976,Conestoga-Rovers & Associates Limited (CRA)
2012,1019,"Cardinal Power of Canada, L.P.",Cardinal Power,Cardinal,221112,537058.98,0,2942.0492,4343.0256,0,0,0,,544345,544345,544345,Stantec Consulting Ltd.
2012,1075,Ingredion Canada Incorporated,Ingredion Canada Incorporated  - Cardinal Plant,Cardinal,311221,22454.2793,0,9.2411,120.9729,0,0,0,,22585,22585,22585,Conestoga-Rovers & Associates Limited (CRA)
2013,1019,"Cardinal Power of Canada, L.P.",Cardinal Power,Cardinal,221112,558864.98,0,3061.5041,4519.3629,0,0,0,,566446,566446,566446,Stantec Consulting Ltd.
2013,1075,Ingredion Canada Incorporated,Ingredion Canada Incorporated  - Cardinal Plant,Cardinal,311221,22655.5052,0,9.373,123.3614,0,0,0,,22789,22789,22789,Conestoga-Rovers & Associates Limited (CRA)
2014,1019,"Cardinal Power of Canada, L.P.",Cardinal Power,Cardinal,221112,415968.15,0,2278.3643,3366.6992,0,0,0,,421614,421614,421614,Stantec Consulting Ltd.
2014,1075,Ingredion Canada Incorporated,Ingredion Canada Incorporated  - Cardinal Plant,Cardinal,311221,24417.9626,0,10.1018,132.9776,0,0,0,,24562,24562,24562,Conestoga-Rovers & Associates Limited (CRA)
2015,1019,"Cardinal Power of Canada, L.P.",Cardinal Power,Cardinal,221112,83663.9419,0,457.8773,680.3353,0,0,0,0,84803,84803,84803,Stantec Consulting Ltd.
2015,1075,Ingredion Canada Corporation,Ingredion Canada Corporation  - Cardinal Plant,Cardinal,311221,23413.7079,0,9.688,127.4856,0,0,0,0,23551,23551,23551,GHD Limited (formerly CRA)
2016,1019,"Cardinal Power of Canada, L.P.",Cardinal Power,Cardinal,221112,93503.9878,0,511.9926,758.1019,0,0,0,0,94775,94775,94775,Stantec Consulting Ltd.
2016,1075,Ingredion Canada Incorporated,Ingredion Canada Corporation,Cardinal,311221,23331.208,0,9.6523,127.0516,0,0,0,0,23468,23468,23468,GHD Limited (formerly CRA)
2017,1019,"Cardinal Power of Canada, L.P.",Cardinal Power,Cardinal,221112,53079.5796,0,290.5682,430.9992,0,0,0,0,53802,53802,53802,GHD
2017,1075,Ingredion Canada Corporation,Ingredion Canada Corporation,Cardinal,311221,55920.4207,0,23.1615,305.0815,0,0,0,0,56249,56249,56249,PWC
2018,1075,Ingredion Canada Corporation,Ingredion Canada Corporation,Cardinal,311221,95752.7017,0,39.6157,521.3227,0,0,0,0,96314,96314,96314,PWC
2018,1019,"Cardinal Power of Canada, L.P.",Cardinal Power,Cardinal,221112,43869.8823,0,240.0035,357.4951,0,0,0,0,44468,44468,44468,GHD Limited
2010,1060,Greenfield Ethanol Inc.,Chatham Facility,Chatham,325190,143647,0,176,601,0,0,0,,144424,144424,,
2010,1150,Union Gas Limited,Natural Gas Distribution System - Union Gas - Union Gas,Chatham,221210,308346,0,6552,2480,0,0,0,,317378,317378,,
2011,1060,Greenfield Ethanol Inc.,Chatham Plant,Chatham,325190,134655.816,922.1992,55.6743,732.526,0,0,0,,136367,135444.8008,135445,KPMG Performance Registrar Inc.
2011,1150,Union Gas Limited,Natural Gas Transmission and Distribution,Chatham,221210,290742.1011,0,6174.0735,2398.935,0,0,0,,299316,299316,299316,Conestoga-Rovers & Associates Limited (CRA)
2012,1060,GreenField Ethanol Inc.,Chatham Plant,Chatham,325190,130439.1965,975.403,53.9288,709.5602,0,0,0,,132179,131203,131203,KPMG Performance Registrar Inc.
2012,1150,Union Gas Limited,Natural Gas Transmission and Distribution,Chatham,221210,239762.8466,0,5091.4794,1978.296,0,0,0,,246833,246833,246833,Conestoga-Rovers & Associates Limited (CRA)
2013,1060,GreenField Specialty Alcohols Inc.,Chatham Plant,Chatham,325190,137753.2306,728.2713,56.9949,749.9024,0,0,0,,139289,138560,138560,KPMG Performance Registrar Inc.
2013,1150,Union Gas Limited,Natural Gas Transmission and Distribution,Chatham,221210,275815.1219,0,5857.0911,2275.772,0,0,0,,283948,283948,283948,Conestoga-Rovers & Associates Limited (CRA)
2014,1060,GreenField Specialty Alcohols Inc.,Chatham Plant,Chatham,325190,135683.158,532.781,56.1385,738.6333,0,0,0,,137011,136478,136478,KPMG Performance Registrar Inc.
2014,1150,Union Gas Limited,Natural Gas Transmission and Distribution,Chatham,221210,214238.0982,0,4549.4673,1767.682,0,0,0,,220556,220556,220556,Conestoga-Rovers & Associates Limited (CRA)
2015,1060,GreenField Specialty Alcohols Inc.,Chatham Plant,Chatham,325190,139410.572,444.8374,57.6807,758.9231,0,0,0,0,140673,140228,140228,KPMG Performance Registrar Inc.
2015,1150,Union Gas Limited,Natural Gas Transmission and Distribution,Chatham,221210,226323.7872,0,4806.1146,1867.409,0,0,0,0,232998,232998,232998,GHD Limited (formerly CRA)
2015,1236,MSSC Canada,MSSC Canada,Chatham,336330,13817,0,5.712,75.33,0,0,0,0,13899,13899,13899,RWDI AIR Inc.
2016,1060,GreenField Specialty Alcohols Inc.,Chatham,Chatham,325190,155529.607,756.9398,64.3499,846.6736,0,0,0,0,157198,156441,156441,KPMG Performance Registrar Inc.
2016,1150,Union Gas Limited,Natural Gas Transmission and Distribution,Chatham,221210,162427.3879,0,353788.7997,1332.101,0,0,0,0,517549,517549,166204,GHD Limited (formerly CRA)
2016,1236,MSSC Canada,MSSC Canada,Chatham,336330,14923,0,6.174,81.22,0,0,0,0,15011,15011,15011,RWDI AIR Inc.
2016,1333,2333281 Ontario Limited,Truly Green Farms,Chatham,111419,18788,0,7.77,108.5,0,0,0,0,18905,18905,18905,GHD Limited (formerly CRA)
2017,1060,Greenfield Global Inc.,Chatham,Chatham,325190,157302.09,524.4809,272.9537,964.8018,0,0,0,0,159065,158540,158540,GHD Limited
2017,1150,Union Gas Limited,Natural Gas Transmission and Distribution,Chatham,221210,229998.0073,0,213287.9616,1889.946,0,0,0,0,445176,445176,235801,Ernst & Young LLP
2017,1236,MSSC Canada,MSSC Canada,Chatham,336330,14233,0,5.88,77.5,0,0,0,0,14317,14317,14317,RWDI Air Inc
2017,1333,2333281 Ontario Limited,Truly Green Farms,Chatham,111419,16069.89,0,6.72,93,0,0,0,0,16170,16170,16170,GHD
2018,1060,Greenfield Global Inc.,Chatham,Chatham,325190,140232.78,318.31,292.9626,886.011,0,0,0,0,141731,141412,141412,GHD Limited
2018,1150,Enbridge Gas Inc.,UG - Natural Gas Transmission and Distribution,Chatham,221210,301066.8019,0,208489.3335,2459.664,0,0,0,0,512016,512016,306895,Ernst & Young LLP
2018,1236,MSSC Canada,MSSC Canada,Chatham,336330,14350,0,5.943,78.12,0,0,0,0,14435,14435,14435,
2018,1333,2333281 Ontario Limited,Truly Green Farms,Chatham,111419,14259.91,0,5.88,83.7,0,0,0,0,14350,14350,14350,
2010,1095,Northland Power Inc.,Cochrane Generating Station,Cochrane,221112,112948,161123,659,1147,0,0,0,,275878,114755,,
2011,1095,Northland Power Inc.,Cochrane Generating Station,Cochrane,221112,109742.903,176596.971,796.299,2039.49,0,0,0,,289176,112579.029,112580,SAI Global
2012,1095,Northland Power Inc.,Cochrane Generating Station,Cochrane,221112,110320.971,170269.035,792.183,2002.29,0,0,0,,283385,113115,113115,SAI Global
2013,1095,Northland Power Inc.,Cochrane Generating Station,Cochrane,221112,114720.459,176951.717,1818.201,3269.57,0,0,0,,296760,119808,119808,SAI Global
2014,1095,Northland Power Inc.,Cochrane Generating Station,Cochrane,221112,103195.793,166734.693,1686.363,3041.1,0,0,0,,274658,107923,107923,SAI Global
2015,1095,Northland Power Inc.,Cochrane Generating Station,Cochrane,221112,39989.709,67136.199,670.467,1211.79,0,0,0,0,109009,41872,41872,SAI Global
2016,1095,Northland Power Inc.,Cochrane Generating Station,Cochrane,221112,0,0,0,0,0,0,0,0,0,0,0,SAI Global
2017,1095,Northland Power Inc.,Cochrane Generating Station,Cochrane,221112,5.946,0,0,0,0,0,0,0,6,6,6,GHD Limited
2018,1095,Cochrane Power Corporation,Cochrane Generating Station,Cochrane,221112,0,0,0,0,0,0,0,0,0,0,0,
2011,1004,Collingwood Ethanol LP,Collingwood Ethanol,Collingwood,325190,26963,0,0,0,0,0,0,,26963,26963,26963,Conestoga-Rovers & Associates Limited (CRA)
2015,1207,Canadian Mist Distillers Ltd.,Canadian Mist Distillers Limited,Collingwood,312140,12507.7,13,5.271,75.95,0,0,0,0,12602,12589,12589,Stantec Consulting Ltd.
2016,1207,Canadian Mist Distillers Ltd.,Canadian Mist Distillers Limited,Collingwood,312140,9325.1,0,3.8372,50.6683,0,0,0,0,9380,9380,9380,Stantec Consulting Ltd.
2017,1207,Canadian Mist Distillers Ltd.,Canadian Mist Distillers Limited,Collingwood,312140,10964,0,4.5116,59.5588,0,0,0,0,11029,11029,11029,Stantec Consulting Ltd
2018,1207,Canadian Mist Distillers Ltd.,Canadian Mist Distillers Limited,Collingwood,312140,11895.72,0,5.04,300.7,0,0,0,0,12202,12202,12202,
2010,1154,Vale Inco Ltd.,Copper Cliff Nickel Refinery,Copper Cliff,331410,50966,0,19,240,0,0,0,,51225,51225,,
2010,1155,Vale Inco Ltd.,Copper Cliff Smelter,Copper Cliff,331410,196772,0,82,1081,0,0,0,,197936,197936,,
2011,1168,Vale Canada Limited,"Copper Cliff Mining, Smelting and Refining Complex",Copper Cliff,331410,411841.93,0,133.2479,1917.532,0,0,0,,413893,413893,413893,Ernst & Young LLP
2012,1168,Vale Canada Limited,"Copper Cliff Mining, Smelting and Refining Complex",Copper Cliff,331410,407388,0,137.13,1953.62,0,0,0,0,409479,409479,409479,Ernst & Young LLP
2013,1168,Vale Canada Limited,"Copper Cliff Mining, Smelting and Refining Complex",Copper Cliff,331410,428948.27,0,144.543,2083.417,0,0,0,0,431177,431177,431177,Ernst & Young LLP
2014,1168,Vale Canada Limited,"Copper Cliff Mining, Smelting and Refining Complex",Copper Cliff,331410,442598.37,0,144.8756,2073.621,0,0,0,0,444817,444817,444817,Ernst & Young LLP
2015,1168,Vale Canada Limited,"Copper Cliff Mining, Smelting and Refining Complex",Copper Cliff,331410,436172,0,143.2263,1993.951,0,0,0,0,438310,438310,438310,Ernst & Young LLP
2016,1168,Vale Canada Limited,"Copper Cliff Mining, Smelting and Refining Complex",Copper Cliff,331410,435360.5,0,136.5495,1756.0198,239,0,0,0,437493,437493,437254,Ernst & Young LLP
2017,1168,Vale Canada Limited,"Copper Cliff Mining, Smelting and Refining Complex",Copper Cliff,331410,391287.618,0,129.5154,1869.486,1444.038,0,0,0,394731,394731,394731,RWDI
2018,1168,Vale Canada Limited,"Copper Cliff Mining, Smelting and Refining Complex",Copper Cliff,331410,358106,0,119.2947,1585.712,201.64,0,0,0,360013,360013,360013,RWDI
2010,1002,Air Products Canada Ltd,Corunna Hydrogen Facility,Corunna,325120,389933,0,0,0,0,0,0,,389933,389933,,
2010,1029,"Clean Harbors Canada, Inc.","Clean Harbors Canada, Inc",Corunna,562210,55524,0,1306,2571,0,0,0,,59402,59402,,
2010,1100,NOVA Chemicals (Canada) Ltd.,NOVA Chemicals - Corunna Site,Corunna,325110,1451871,0,919,6984,0,0,0,,1459775,1459775,,
2010,1102,NOVA Chemicals  (Canada) Ltd.,St. Clair River Site,Corunna,325210,72421,0,88,372,0,0,0,,72881,72881,,
2010,1125,Shell Canada Products,Sarnia Manufacturing Centre,Corunna,324110,759474,0,312,7381,0,0,0,,767168,767168,,
2010,1128,"St. Clair Power, LP",St. Clair Energy Center,Corunna,221112,357609,0,1959,2894,0,0,0,,362462,362462,,
2011,1002,Air Products Canada Ltd.,Corunna Hydrogen Facility,Corunna,325120,433587.51,0,0.1302,0.186,0,0,0,,433588,433588,433588,Conestoga-Rovers & Associates Limited (CRA)
2011,1029,"Clean Harbors Canada, Inc.","Clean Harbors Canada, Inc",Corunna,562210,68194.55,0,0.5943,13.9987,0,0,0,,68210,68210,68210,Stantec Consulting Ltd.
2011,1100,NOVA Chemicals (Canada) Ltd.,Corunna Site,Corunna,325110,1339068.955,0,3982.8054,4322.733,0,0,0,,1347375,1347375,1347375,Ernst & Young LLP
2011,1102,NOVA Chemicals Corporation,St. Clair River Site,Corunna,325210,62389.9695,0,33.5454,310.589,0,0,0,,62735,62735,62735,Ernst & Young LLP
